ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
24,000000;102,000000;1,000000;10000,000000;0,000100;6,172311;-75,628199;430448,364560;682243,270389;430548,364560;682343,270389
24,000000;103,000000;2,000000;10000,000000;0,000200;6,173216;-75,628200;430448,364560;682343,270389;430548,364560;682443,270389
24,000000;104,000000;3,000000;10000,000000;0,000300;6,174121;-75,628201;430448,364560;682443,270389;430548,364560;682543,270389
24,000000;105,000000;2,000000;10000,000000;0,000200;6,175025;-75,628202;430448,364560;682543,270389;430548,364560;682643,270389
25,000000;90,000000;1,000000;10000,000000;0,000100;6,161458;-75,627282;430548,364560;681043,270389;430648,364560;681143,270389
25,000000;91,000000;1,000000;10000,000000;0,000100;6,162362;-75,627283;430548,364560;681143,270389;430648,364560;681243,270389
25,000000;93,000000;1,000000;10000,000000;0,000100;6,164171;-75,627285;430548,364560;681343,270389;430648,364560;681443,270389
25,000000;94,000000;3,000000;10000,000000;0,000300;6,165076;-75,627286;430548,364560;681443,270389;430648,364560;681543,270389
25,000000;102,000000;4,000000;10000,000000;0,000400;6,172312;-75,627295;430548,364560;682243,270389;430648,364560;682343,270389
25,000000;103,000000;3,000000;10000,000000;0,000300;6,173217;-75,627296;430548,364560;682343,270389;430648,364560;682443,270389
25,000000;104,000000;4,000000;10000,000000;0,000400;6,174122;-75,627297;430548,364560;682443,270389;430648,364560;682543,270389
26,000000;90,000000;2,000000;10000,000000;0,000200;6,161459;-75,626378;430648,364560;681043,270389;430748,364560;681143,270389
26,000000;91,000000;1,000000;10000,000000;0,000100;6,162363;-75,626379;430648,364560;681143,270389;430748,364560;681243,270389
26,000000;92,000000;2,000000;10000,000000;0,000200;6,163268;-75,626381;430648,364560;681243,270389;430748,364560;681343,270389
26,000000;93,000000;1,000000;10000,000000;0,000100;6,164172;-75,626382;430648,364560;681343,270389;430748,364560;681443,270389
26,000000;94,000000;1,000000;10000,000000;0,000100;6,165077;-75,626383;430648,364560;681443,270389;430748,364560;681543,270389
26,000000;101,000000;1,000000;10000,000000;0,000100;6,171409;-75,626390;430648,364560;682143,270389;430748,364560;682243,270389
26,000000;102,000000;3,000000;10000,000000;0,000300;6,172314;-75,626391;430648,364560;682243,270389;430748,364560;682343,270389
26,000000;103,000000;1,000000;10000,000000;0,000100;6,173218;-75,626392;430648,364560;682343,270389;430748,364560;682443,270389
27,000000;87,000000;4,000000;10000,000000;0,000400;6,158746;-75,625471;430748,364560;680743,270389;430848,364560;680843,270389
27,000000;89,000000;1,000000;10000,000000;0,000100;6,160555;-75,625474;430748,364560;680943,270389;430848,364560;681043,270389
27,000000;90,000000;3,000000;10000,000000;0,000300;6,161460;-75,625475;430748,364560;681043,270389;430848,364560;681143,270389
27,000000;92,000000;4,000000;10000,000000;0,000400;6,163269;-75,625477;430748,364560;681243,270389;430848,364560;681343,270389
27,000000;93,000000;5,000000;10000,000000;0,000500;6,164173;-75,625478;430748,364560;681343,270389;430848,364560;681443,270389
