id_barrio;barrio;id_ruta_cobro;ruta_cobro;id_centroope
12036;"ROBLEDO LA CAMPIÑA";45;"RUTA 14  ROBLEDO";3
12220;"ROBLEDO LAS MARGARITAS";45;"RUTA 14  ROBLEDO";3
12055;"ROBLEDO PILARICA";45;"RUTA 14  ROBLEDO";3
12176;"ROBLEDO SAN GERMAN";45;"RUTA 14  ROBLEDO";3
12215;"ROBLEDO PALENQUE";45;"RUTA 14  ROBLEDO";3
12057;"ROBLEDO PARQUE";45;"RUTA 14  ROBLEDO";3
12329;"ROBLEDO PRIMAVERAL";45;"RUTA 14  ROBLEDO";3
12038;"ROBLEDO VILLA SOFIA";45;"RUTA 14  ROBLEDO";3
12037;"ROBLEDO DIAMANTE";45;"RUTA 14  ROBLEDO";3
12264;"ROBLEDO (BALCON DEL VALLE 2)";45;"RUTA 14  ROBLEDO";3
12212;"ROBLEDO CIVITON";45;"RUTA 14  ROBLEDO";3
12265;"ROBLEDO EL CORTIJO";45;"RUTA 14  ROBLEDO";3
12311;"ROBLEDO LA IGUANA";45;"RUTA 14  ROBLEDO";3
12102;ARANJUEZ;45;"RUTA 14  ROBLEDO";3
48721;"ROBLEDO SANTA MARIA";45;"RUTA 14  ROBLEDO";3
46371;"SAN MARTÍN DE PORRAS";46;"RUTA  15  (12 DE OCTUBRE)";3
12270;"LOPEZ DE MESA";46;"RUTA  15  (12 DE OCTUBRE)";3
12082;"SANTANDER MED";46;"RUTA  15  (12 DE OCTUBRE)";3
12081;"GRATAMIRA MED";46;"RUTA  15  (12 DE OCTUBRE)";3
12073;BOSTON;46;"RUTA  15  (12 DE OCTUBRE)";3
12085;"UR CERROS DE LA MADERA";46;"RUTA  15  (12 DE OCTUBRE)";3
12052;"ROBLEDO VILLA FLORA";46;"RUTA  15  (12 DE OCTUBRE)";3
12049;"ROBLEDO BELLO HORIZONTE";46;"RUTA  15  (12 DE OCTUBRE)";3
12084;"DOCE DE OCTUBRE MED";46;"RUTA  15  (12 DE OCTUBRE)";3
12121;CENTRO..;46;"RUTA  15  (12 DE OCTUBRE)";3
12317;"LOPEZ DE MESA(URB. ALTAMIRA)";46;"RUTA  15  (12 DE OCTUBRE)";3
12051;"ROBLEDO MIRADOR";46;"RUTA  15  (12 DE OCTUBRE)";3
12066;"ROBLEDO MIRAMAR";46;"RUTA  15  (12 DE OCTUBRE)";3
12079;"FLORENCIA MED";46;"RUTA  15  (12 DE OCTUBRE)";3
12682;"UR LA PASTORA CRA 64D 103FF-76 GIRARDOT";47;"RUTA  18  CABAÑAS";3
12685;"UR MANAOS CLL 27 B-58D-334 CABAÑAS";47;"RUTA  18  CABAÑAS";3
12700;"UR MANAOS CALLE 27B # 58D-334 CABAÑAS";47;"RUTA  18  CABAÑAS";3
12684;"UR MANAOS CLL 27 B-58D-334 CABAÑAS";47;"RUTA  18  CABAÑAS";3
12083;"BARRIO NUEVO";47;"RUTA  18  CABAÑAS";3
12119;"PALMAR DE SERRAMONTE";47;"RUTA  18  CABAÑAS";3
12110;CABAÑITAS;47;"RUTA  18  CABAÑAS";3
12206;SALENTO;47;"RUTA  18  CABAÑAS";3
12696;"SAN SILVESTRE";47;"RUTA  18  CABAÑAS";3
12114;SANTANA;47;"RUTA  18  CABAÑAS";3
12118;SERRAMONTE;47;"RUTA  18  CABAÑAS";3
12109;CABAÑAS;47;"RUTA  18  CABAÑAS";3
12208;BUCAROS;47;"RUTA  18  CABAÑAS";3
12112;"GRAN AVENIDA";47;"RUTA  18  CABAÑAS";3
12127;"LA FLORIDA";47;"RUTA  18  CABAÑAS";3
12126;MOLINARES;47;"RUTA  18  CABAÑAS";3
12111;OBRERO;47;"RUTA  18  CABAÑAS";3
46221;"PUERTO ALEGRE";47;"RUTA  18  CABAÑAS";3
12113;"SAN JOSE OBRERO";47;"RUTA  18  CABAÑAS";3
12125;"URBANIZACION SANSIMON";47;"RUTA  18  CABAÑAS";3
12078;"BOYACA LAS BRISAS";47;"RUTA  18  CABAÑAS";3
12327;"FLORENCIA (CERRO DE LA CUMBRE)";47;"RUTA  18  CABAÑAS";3
12040;TEJELO;47;"RUTA  18  CABAÑAS";3
48667;"CIUDAD DE LOS PUERTOS";47;"RUTA  18  CABAÑAS";3
12094;"ETERNA PRIMAVERA";49;"RUTA 26 CAMPO VALDEZ";3
12321;"LOS PINOS";49;"RUTA 26 CAMPO VALDEZ";3
12134;"CASAS DE COMFENALCO";53;"RUTA  19 BELLO";3
12141;"VILLAS DEL SOL";53;"RUTA  19 BELLO";3
12137;"EL PARAISO";53;"RUTA  19 BELLO";3
12095;"CERROS DEL VERGEL";53;"RUTA  19 BELLO";3
12166;"HERMOSA PROVIDENCIA";53;"RUTA  19 BELLO";3
12200;URAPANES;53;"RUTA  19 BELLO";3
12167;"MARCO TULIO HENAO";53;"RUTA  19 BELLO";3
12274;"LA ALDEA";53;"RUTA  19 BELLO";3
12695;TIERRADENTRO;53;"RUTA  19 BELLO";3
12209;BELLAVISTA;53;"RUTA  19 BELLO";3
12310;TIERRADENTRO;53;"RUTA  19 BELLO";3
12136;PARAISO;53;"RUTA  19 BELLO";3
12198;GORETTI;53;"RUTA  19 BELLO";3
12133;ARALIAS;53;"RUTA  19 BELLO";3
12582;"EL TREBOL";53;"RUTA  19 BELLO";3
12191;"EL VERGEL";53;"RUTA  19 BELLO";3
12187;"LA CUMBRE";53;"RUTA  19 BELLO";3
12184;MESA;53;"RUTA  19 BELLO";3
12122;"EL TRAPICHE";53;"RUTA  19 BELLO";3
12120;TOSCANA;53;"RUTA  19 BELLO";3
12210;"EL CARMELO";53;"RUTA  19 BELLO";3
12174;PORVENIR;53;"RUTA  19 BELLO";3
12278;ANDALUCIA;53;"RUTA  19 BELLO";3
12207;DUCADO;53;"RUTA  19 BELLO";3
12202;"EL CAIRO";53;"RUTA  19 BELLO";3
12131;"EL ROSARIO";53;"RUTA  19 BELLO";3
12195;"LA CALLECITA";53;"RUTA  19 BELLO";3
12199;"LA MILAGROSA";53;"RUTA  19 BELLO";3
12143;"LA SELVA";53;"RUTA  19 BELLO";3
12185;MIRADOR;53;"RUTA  19 BELLO";3
12130;NAZARETH;53;"RUTA  19 BELLO";3
12295;VALADARES;53;"RUTA  19 BELLO";3
12142;"SAN MARTIN";53;"RUTA  19 BELLO";3
12576;"EL ROSARIO";53;"RUTA  19 BELLO";3
12205;ROSALPI;53;"RUTA  19 BELLO";3
12203;PACHELLY;53;"RUTA  19 BELLO";3
46234;RIACHUELOS;53;"RUTA  19 BELLO";3
12197;"PLAYA RICA";53;"RUTA  19 BELLO";3
12304;"ESPIRITU SANTO";53;"RUTA  19 BELLO";3
46266;"EL REMANSO";53;"RUTA  19 BELLO";3
12297;"LAS CANOAS";54;"RUTA 22 COPACABANA";3
12296;MIRAFLORES;54;"RUTA 22 COPACABANA";3
12147;GUADALAJARA;54;"RUTA 22 COPACABANA";3
12578;"LA SOLITA";54;"RUTA 22 COPACABANA";3
46273;"EL MOJON";54;"RUTA 22 COPACABANA";3
46122;BARBOSA;54;"RUTA 22 COPACABANA";3
12247;ZAMORA;54;"RUTA 22 COPACABANA";3
12152;REMANSO;54;"RUTA 22 COPACABANA";3
12150;FATIMA;54;"RUTA 22 COPACABANA";3
12273;"SAN JUAN";54;"RUTA 22 COPACABANA";3
12275;"SIMON BOLIVAR";54;"RUTA 22 COPACABANA";3
12587;"BARRIO MARIA";54;"RUTA 22 COPACABANA";3
12153;COPACABANA;54;"RUTA 22 COPACABANA";3
12581;"EL TABLAZO";54;"RUTA 22 COPACABANA";3
12239;"LA GABRIELA";54;"RUTA 22 COPACABANA";3
12589;"LA MADERA";54;"RUTA 22 COPACABANA";3
12146;"LA PEDRERA";54;"RUTA 22 COPACABANA";3
12158;VILLANUEVA;54;"RUTA 22 COPACABANA";3
12149;"EL MIRADOR AZUL";54;"RUTA 22 COPACABANA";3
12300;"MIRARDOR VERDE";54;"RUTA 22 COPACABANA";3
12291;PEDREGAL;54;"RUTA 22 COPACABANA";3
12238;"LA CAMILA";54;"RUTA 22 COPACABANA";3
12284;"CRISTO REY";54;"RUTA 22 COPACABANA";3
46269;"PIEDRAS BLANCAS";54;"RUTA 22 COPACABANA";3
12144;"LA MISERICORDIA";54;"RUTA 22 COPACABANA";3
12266;FONTIDUEÑO;54;"RUTA 22 COPACABANA";3
12577;HORIZONTES;54;"RUTA 22 COPACABANA";3
12148;"LA ASUNCION";54;"RUTA 22 COPACABANA";3
12151;"LA AZULITA";54;"RUTA 22 COPACABANA";3
12190;"LAS VEGAS";54;"RUTA 22 COPACABANA";3
12194;"LAS VEGAS(COPACABANA)";54;"RUTA 22 COPACABANA";3
12145;MACHADO;54;"RUTA 22 COPACABANA";3
12162;"MACHADO ALCALA";54;"RUTA 22 COPACABANA";3
12161;"MACHADO LOS CIRUELOS";54;"RUTA 22 COPACABANA";3
12580;OBRERO;54;"RUTA 22 COPACABANA";3
12579;PORVENIR;54;"RUTA 22 COPACABANA";3
12290;"SAN FRANCISCO";54;"RUTA 22 COPACABANA";3
12305;"VILLAS DE COPACABANA";54;"RUTA 22 COPACABANA";3
46270;YARUMITO;54;"RUTA 22 COPACABANA";3
12307;"EL RECREO";54;"RUTA 22 COPACABANA";3
12583;PARQUE;54;"RUTA 22 COPACABANA";3
12680;"JUAN DEL CORRAL";56;"RUTA 17  (BOYACA LAS BRISAS)";3
12594;PEDREGAL1;57;"RUTA 16   ALFONSO LOPEZ";3
12087;"GIRARDOT MED";57;"RUTA 16   ALFONSO LOPEZ";3
12068;"ALFONZO LOPEZ MED";57;"RUTA 16   ALFONSO LOPEZ";3
12673;"CASTILLA 1";57;"RUTA 16   ALFONSO LOPEZ";3
12280;CARIBE;57;"RUTA 16   ALFONSO LOPEZ";3
12108;"CORDOBA CIUDAD CENTRAL";57;"RUTA 16   ALFONSO LOPEZ";3
12069;CASTILLA;57;"RUTA 16   ALFONSO LOPEZ";3
12106;CORDOBA;57;"RUTA 16   ALFONSO LOPEZ";3
12229;"FRANCISCO ANTONIO ZEA";57;"RUTA 16   ALFONSO LOPEZ";3
12074;PEDREGAL;57;"RUTA 16   ALFONSO LOPEZ";3
12254;TRICENTENARIO;57;"RUTA 16   ALFONSO LOPEZ";3
12089;BELALCAZAR;57;"RUTA 16   ALFONSO LOPEZ";3
12077;MANRIQUE;58;"RUTA 12  MANRIQUE";3
12099;"MANRIQUE GUADALUPE";58;"RUTA 12  MANRIQUE";3
12101;"MANRIQUE SAN PABLO";58;"RUTA 12  MANRIQUE";3
12233;"ANDALUCIA LA FRANCIA";58;"RUTA 12  MANRIQUE";3
12268;"MANRIQUE LAS ESMERALDAS";58;"RUTA 12  MANRIQUE";3
12103;"SANTA CRUZ LA ROSA";58;"RUTA 12  MANRIQUE";3
12104;"MANRIQUE CENTRAL";58;"RUTA 12  MANRIQUE";3
12098;"MANRIQUE ORIENTAL";58;"RUTA 12  MANRIQUE";3
12902;"ALCALA PUENTE ARANDA";67;"BOGOTA 1 - HECTOR BONILLA";4
13262;"AUTOPISTA SUR";67;"BOGOTA 1 - HECTOR BONILLA";4
12990;BOCHICA;67;"BOGOTA 1 - HECTOR BONILLA";4
13244;CARABELAS;67;"BOGOTA 1 - HECTOR BONILLA";4
12731;CENTRO;67;"BOGOTA 1 - HECTOR BONILLA";4
12861;"CENTRO AMÉRICAS";67;"BOGOTA 1 - HECTOR BONILLA";4
13392;"CIUDAD BERNA ANTONIO NARIÑO";67;"BOGOTA 1 - HECTOR BONILLA";4
13395;"CIUDAD JARDIN SUR ANTONIO NARIÑO";67;"BOGOTA 1 - HECTOR BONILLA";4
12949;"CIUDAD MONTES PUENTE ARANDA";67;"BOGOTA 1 - HECTOR BONILLA";4
13255;"EDUARDO SANTOS";67;"BOGOTA 1 - HECTOR BONILLA";4
12921;"EL JAZMIN PUENTE ARANDA";67;"BOGOTA 1 - HECTOR BONILLA";4
12987;"EL PROGRESO";67;"BOGOTA 1 - HECTOR BONILLA";4
