id_barrio;barrio;origen
45282;VILLA DEL SUR (CUCHILLA);logistica
45283;CUCHILLA DE LOS CASTROS;logistica
45285;PLAYA RICA;logistica
45287;LA CAPILLA;logistica
45289;EL OSO (CUBA);logistica
45291;PROGRESO;logistica
45294;QUINTAS DE LA ACUARELA (CUBA);logistica
45295;DIVINO NIÑO;logistica
45297;LAS PALMAS;logistica
45615;LOS NOGALES;logistica
45616;LIBERTADORES;logistica
45617;OBRERO;logistica
45620;VILLA CECILIA;logistica
45622;5 DE OCTUBRE (CUBA);logistica
45624;OLIMPIA (CUCHILLA);logistica
45626;NOGAL DE LOS ALPES;logistica
45628;LOS CEREZOS;logistica
45630;CAMBULOS POPA;logistica
45632;CERRO AZUL;logistica
45634;LAS VIOLETAS;logistica
45636;GUADUALES DE MILAN;logistica
45637;VERSALLES;logistica
45639;SANTIAGO LONDOÑO (FRAILES);logistica
45641;VILLA ALEXANDRA;logistica
45642;CESAR AGUSTO D/DAS;logistica
45646;EL PROGRESO D/DAS;logistica
45648;LARA BONILLA (FRAILES);logistica
45649;URB. PIAMONTE D/DAS;logistica
45650;INDEPENDENCIA D/DAS;logistica
45651;LA SOLEDAD;logistica
45652;LA CAMPIÑA D/DAS;logistica
45653;ALTOS DE VILLA MARIELA;logistica
45654;ROSALES D/DAS;logistica
45655;LAURELES D/DAS;logistica
45656;MIRADOR SANTA MONICA D/DAS;logistica
45657;CONJUNTO AGUAZUL D/DAS;logistica
45658;LUIS CARLOS GALAN D/DAS;logistica
45659;RESERVAS DE MILAN D/DAS;logistica
45661;LOS ALPES D/DAS;logistica
45662;AV SIMON BOLIVAR D/DAS;logistica
45663;URB. EL BOSQUE D/DAS;logistica
45664;GALAXIA D/DAS;logistica
45666;TULIPANES D/DAS;logistica
45667;NVA GRANADA D/DAS;logistica
45669;VILLA TULA D/DAS;logistica
45670;EL CARBONERO D/DAS;logistica
45671;VILLA DEL CAMPESTRE D/DAS;logistica
45672;QUINTAS DE ARAGON D/DAS;logistica
45673;JARDIN COLONIAL D/DAS;logistica
45674;EL PORVENIR D/DAS;logistica
45676;URB. COLMENARES D/DAS;logistica
45677;ALAMEDA;logistica
45678;EL CARBONERO;logistica
45679;LAGUITOS;logistica
45680;MINUTO DE DIOS D/DAS;logistica
45683;SAN JUAN CENTRO;logistica
45684;BUENOS AIRES CENTRO;logistica
46054;ALTA VISTA (CUBA);logistica
46058;VENECIA CENTRO;logistica
46060;LUIS ALBERTO DUQUE;logistica
46061;PUERTA DE ALCALA;logistica
46063;VILLA NOHEMI;logistica
46065;LA IDALIA;logistica
46071;LAS ACACIAS;logistica
46072;CUBA.;logistica
46073;SAN RAFAEL D/DAS;logistica
46074;OLAYA HERRERA;logistica
46075;REC 1;logistica
46076;REC 2;logistica
46077;VILLA CONSOTA;logistica
46078;SINAI 2500 LTS;logistica
46079;CENTRO 1;logistica
46082;PUERTO ALEGRE;logistica
46084;CARTAGO;logistica
46090;LA VIRGINIA;logistica
46091;QUINTAS DEL BOSQUE D/DAS;logistica
46092;VERACRUZ;logistica
46094;LA PRADERA;logistica
46095;AQUILINO VILLEGAS;logistica
46123;OFICINA MANIZALES;logistica
46166;OFICINA PEI;logistica
46180;SOACHA PORVENIR;logistica
46181;SECTOR A PARQUE IND;logistica
46182;SECTOR B PARQUE IND;logistica
46183;SECTOR C PARQUE IND;logistica
46184;SECTOR D PARQUE IND;logistica
46185;SECTOR E PARQUE IND;logistica
46191;BELMONTE BAJO (VIA CERRITOS);logistica
46193;CAMPESTRE A;logistica
46194;CAMPESTRE B;logistica
46197;CAMPESTRE C;logistica
46199;CAMPESTRE D;logistica
46209;LA FLORESTA KENNEDY;logistica
46223;SAN JACINTO;logistica
46232;SECTOR E PARQUE INDUSTRIAL;logistica
46233;GUADACANAL - CUBA;logistica
46238;20 DE JULIO;logistica
46239;HERNANDO VELEZ;logistica
46262;BRISAS DEL BOLO;logistica
46265;ESCOBAR;logistica
46268;MOLIVENTO;logistica
46305;LA HERMOSA I;logistica
46306;LA HERMOSA II;logistica
46308;LA HERMOSA VIII;logistica
46309;LA HERMOSA III;logistica
46310;LA HERMOSA IV;logistica
46311;LA HERMOSA V;logistica
46312;LA HERMOSA VI;logistica
46314;LOS ANGELES;logistica
46320;VILLA DIANA;logistica
46321;FERMIN LOPEZ;logistica
46323;LINARES;logistica
46327;VERACRUZ;logistica
46328;PRIMAVERA;logistica
46329;PARAÍSO;logistica
46330;OSANAR SANTA RODA;logistica
46331;BOLÍVAR;logistica
46332;CENTRO;logistica
46333;COLINAS DEL ROSARIO;logistica
46334;LOS SAUCES;logistica
46335;SAN LUIS GONZAGA;logistica
46336;CAMELO;logistica
46339;VETANEA;logistica
46340;EL TRIUNFO;logistica
46341;TERESA DE CALCUTA;logistica
46342;LOS ANDES;logistica
